"","road","unit","transect","point","year","date","species","time_int","distance","dist_cat","flyover","display","count","id"
"26","COUN","C4","T21",9,2021,"6-May-21","ROPT",9,200,NA,"N","",1,"COUN_C4_T21_9"
"27","COUN","C4","T21",13,2021,"6-May-21","WIPT",8,400,NA,"N","",1,"COUN_C4_T21_13"
"28","COUN","C4","T21",16,2021,"6-May-21","WIPT",2,350,NA,"N","",1,"COUN_C4_T21_16"
"29","COUN","C4","T21",16,2021,"6-May-21","WIPT",4,350,NA,"N","",1,"COUN_C4_T21_16"
"30","COUN","C4","T21",19,2021,"6-May-21","WIPT",1,350,NA,"N","",1,"COUN_C4_T21_19"
"31","COUN","C4","T21",21,2021,"6-May-21","ATSP",1,NA,1,"N","",3,"COUN_C4_T21_21"
"32","COUN","C4","T21",21,2021,"6-May-21","WIPT",4,217,NA,"N","",2,"COUN_C4_T21_21"
"33","COUN","C4","T21",22,2021,"6-May-21","WIPT",0,150,NA,"N","",1,"COUN_C4_T21_22"
"34","COUN","C4","T21",22,2021,"6-May-21","WIPT",3,250,NA,"N","",1,"COUN_C4_T21_22"
"35","COUN","C4","T21",22,2021,"6-May-21","WIPT",5,282,NA,"N","",1,"COUN_C4_T21_22"
"36","COUN","C4","T21",20,2021,"6-May-21","WIPT",1,400,NA,"N","",1,"COUN_C4_T21_20"
"37","COUN","C4","T21",20,2021,"6-May-21","WIPT",2,220,NA,"N","",1,"COUN_C4_T21_20"
"38","COUN","C4","T21",20,2021,"6-May-21","WIPT",1,200,NA,"N","",1,"COUN_C4_T21_20"
"39","COUN","C4","T21",20,2021,"6-May-21","WIPT",4,230,NA,"N","",1,"COUN_C4_T21_20"
"40","COUN","C4","T21",18,2021,"6-May-21","WIPT",1,200,NA,"N","",1,"COUN_C4_T21_18"
"41","COUN","C4","T21",18,2021,"6-May-21","ATSP",1,NA,101,"N","",1,"COUN_C4_T21_18"
"42","COUN","C4","T21",18,2021,"6-May-21","WIPT",3,200,NA,"N","",1,"COUN_C4_T21_18"
"43","COUN","C4","T21",15,2021,"6-May-21","NSHR",1,250,NA,"N","",1,"COUN_C4_T21_15"
"44","COUN","C4","T21",15,2021,"6-May-21","WIPT",1,180,NA,"N","",1,"COUN_C4_T21_15"
"45","COUN","C4","T21",15,2021,"6-May-21","WIPT",2,145,NA,"N","",1,"COUN_C4_T21_15"
"46","COUN","C4","T21",15,2021,"6-May-21","WIPT",5,160,NA,"N","",1,"COUN_C4_T21_15"
"47","COUN","C4","T21",12,2021,"6-May-21","WIPT",6,250,NA,"N","",1,"COUN_C4_T21_12"
"48","TELL","T5","T3",7,2021,"7-May-21","ATSP",0,NA,1,"N","",1,"TELL_T5_T3_7"
"49","TELL","T5","T3",7,2021,"7-May-21","AMRO",0,NA,101,"N","",1,"TELL_T5_T3_7"
"50","TELL","T5","T3",7,2021,"7-May-21","WIPT",4,250,NA,"N","",1,"TELL_T5_T3_7"
"51","TELL","T5","T3",7,2021,"7-May-21","WIPT",6,150,NA,"N","",1,"TELL_T5_T3_7"
"52","TELL","T5","T3",11,2021,"7-May-21","ATSP",0,NA,1,"N","",1,"TELL_T5_T3_11"
"53","TELL","T5","T3",11,2021,"7-May-21","WIPT",0,100,NA,"N","",1,"TELL_T5_T3_11"
"54","TELL","T5","T3",11,2021,"7-May-21","ATSP",4,NA,101,"N","",1,"TELL_T5_T3_11"
"55","TELL","T5","T3",14,2021,"7-May-21","ATSP",1,NA,101,"N","",1,"TELL_T5_T3_14"
"56","TELL","T5","T3",14,2021,"7-May-21","GCSP",3,NA,101,"N","",1,"TELL_T5_T3_14"
"57","TELL","T5","T3",18,2021,"7-May-21","ATSP",0,NA,1,"N","",1,"TELL_T5_T3_18"
"58","TELL","T5","T3",18,2021,"7-May-21","AMPI",1,NA,101,"N","",1,"TELL_T5_T3_18"
"59","TELL","T5","T3",18,2021,"7-May-21","AMPI",3,NA,1,"N","",1,"TELL_T5_T3_18"
"60","TELL","T5","T3",18,2021,"7-May-21","WIPT",9,175,NA,"N","",1,"TELL_T5_T3_18"
"61","TELL","T5","T3",29,2021,"7-May-21","HOLA",2,NA,1,"N","",1,"TELL_T5_T3_29"
"62","TELL","T5","T3",19,2021,"7-May-21","ATSP",0,NA,1,"N","",1,"TELL_T5_T3_19"
"63","TELL","T5","T3",19,2021,"7-May-21","ATSP",9,NA,101,"N","",1,"TELL_T5_T3_19"
"64","TELL","T5","T3",19,2021,"7-May-21","SONG",9,NA,101,"N","",1,"TELL_T5_T3_19"
"65","COUN","C3","T14",4,2021,"8-May-21","ATSP",0,NA,101,"N","",1,"COUN_C3_T14_4"
"66","COUN","C3","T14",4,2021,"8-May-21","ATSP",0,NA,101,"N","",1,"COUN_C3_T14_4"
"67","COUN","C3","T14",4,2021,"8-May-21","GCSP",1,NA,1,"N","",1,"COUN_C3_T14_4"
"68","COUN","C3","T14",4,2021,"8-May-21","AMRO",4,200,NA,"N","",1,"COUN_C3_T14_4"
"69","COUN","C3","T14",4,2021,"8-May-21","WCSP",6,NA,101,"N","",1,"COUN_C3_T14_4"
"70","COUN","C3","T14",6,2021,"8-May-21","ATSP",2,NA,101,"N","",1,"COUN_C3_T14_6"
"71","COUN","C3","T14",6,2021,"8-May-21","LALO",7,NA,1,"N","",1,"COUN_C3_T14_6"
"72","COUN","C3","T14",9,2021,"8-May-21","LALO",2,NA,101,"N","",2,"COUN_C3_T14_9"
"73","COUN","C3","T14",9,2021,"8-May-21","LALO",3,NA,101,"N","",1,"COUN_C3_T14_9"
"74","COUN","C3","T14",12,2021,"8-May-21","WISN",0,400,NA,"N","",1,"COUN_C3_T14_12"
"75","COUN","C3","T14",12,2021,"8-May-21","LALO",3,NA,101,"N","",1,"COUN_C3_T14_12"
"76","COUN","C3","T14",12,2021,"8-May-21","LALO",5,NA,101,"N","",1,"COUN_C3_T14_12"
"77","COUN","C3","T14",12,2021,"8-May-21","LALO",5,NA,1,"N","",1,"COUN_C3_T14_12"
"78","COUN","C3","T14",13,2021,"8-May-21","SONG",1,NA,1,"N","",1,"COUN_C3_T14_13"
"79","COUN","C3","T14",13,2021,"8-May-21","AMRO",1,313,NA,"N","",1,"COUN_C3_T14_13"
"80","COUN","C3","T14",13,2021,"8-May-21","ATSP",2,NA,1,"N","",1,"COUN_C3_T14_13"
"81","COUN","C3","T14",13,2021,"8-May-21","ATSP",3,NA,1,"N","",1,"COUN_C3_T14_13"
"82","COUN","C3","T14",13,2021,"8-May-21","LALO",3,NA,1,"N","",1,"COUN_C3_T14_13"
"83","COUN","C3","T14",13,2021,"8-May-21","ATSP",5,NA,101,"N","",1,"COUN_C3_T14_13"
"84","COUN","C3","T14",13,2021,"8-May-21","ATSP",8,NA,101,"N","",1,"COUN_C3_T14_13"
"85","COUN","C3","T14",13,2021,"8-May-21","YRWA",8,NA,101,"N","",1,"COUN_C3_T14_13"
"86","COUN","C3","T14",2,2021,"8-May-21","ATSP",1,NA,1,"N","",5,"COUN_C3_T14_2"
"87","COUN","C3","T14",2,2021,"8-May-21","NSHR",2,166,NA,"N","",1,"COUN_C3_T14_2"
"88","COUN","C3","T14",2,2021,"8-May-21","AMPI",4,NA,1,"N","",1,"COUN_C3_T14_2"
"89","COUN","C3","T14",3,2021,"8-May-21","AMPI",7,NA,101,"N","",1,"COUN_C3_T14_3"
"90","COUN","C3","T14",5,2021,"8-May-21","AMPI",3,NA,1,"N","",1,"COUN_C3_T14_5"
"91","KOUG","K4","T28",5,2021,"9-May-21","GCSP",0,NA,1,"N","",1,"KOUG_K4_T28_5"
"92","KOUG","K4","T28",5,2021,"9-May-21","ATSP",0,NA,1,"N","",1,"KOUG_K4_T28_5"
"93","KOUG","K4","T28",5,2021,"9-May-21","GCSP",0,NA,1,"N","",1,"KOUG_K4_T28_5"
"94","KOUG","K4","T28",5,2021,"9-May-21","WCSP",0,NA,101,"N","",1,"KOUG_K4_T28_5"
"95","KOUG","K4","T28",5,2021,"9-May-21","ATSP",0,NA,1,"N","",1,"KOUG_K4_T28_5"
"96","KOUG","K4","T28",5,2021,"9-May-21","WIPT",0,220,NA,"N","",1,"KOUG_K4_T28_5"
"97","KOUG","K4","T28",5,2021,"9-May-21","WIPT",1,290,NA,"N","",1,"KOUG_K4_T28_5"
"98","KOUG","K4","T28",5,2021,"9-May-21","WIPT",4,350,NA,"N","",1,"KOUG_K4_T28_5"
"99","KOUG","K4","T28",5,2021,"9-May-21","WIPT",5,244,NA,"N","",1,"KOUG_K4_T28_5"
"100","KOUG","K4","T28",4,2021,"9-May-21","AMRO",0,120,NA,"N","",1,"KOUG_K4_T28_4"
"101","KOUG","K4","T28",4,2021,"9-May-21","GCSP",0,NA,101,"N","",1,"KOUG_K4_T28_4"
"102","KOUG","K4","T28",4,2021,"9-May-21","FOSP",2,NA,101,"N","",1,"KOUG_K4_T28_4"
"103","KOUG","K4","T28",4,2021,"9-May-21","FOSP",2,NA,101,"N","",1,"KOUG_K4_T28_4"
"104","KOUG","K4","T28",4,2021,"9-May-21","CORE",2,NA,101,"N","",1,"KOUG_K4_T28_4"
"105","KOUG","K4","T28",4,2021,"9-May-21","WIPT",3,380,NA,"N","",1,"KOUG_K4_T28_4"
"106","KOUG","K4","T28",4,2021,"9-May-21","WCSP",4,NA,101,"N","",1,"KOUG_K4_T28_4"
"107","KOUG","K4","T28",4,2021,"9-May-21","ATSP",4,NA,1,"N","",1,"KOUG_K4_T28_4"
"108","KOUG","K4","T28",4,2021,"9-May-21","ATSP",4,NA,101,"N","",1,"KOUG_K4_T28_4"
"109","KOUG","K4","T28",4,2021,"9-May-21","AMRO",6,95,NA,"N","",1,"KOUG_K4_T28_4"
"110","KOUG","K4","T28",8,2021,"9-May-21","WIPT",4,400,NA,"N","",1,"KOUG_K4_T28_8"
"111","KOUG","K4","T28",11,2021,"9-May-21","GCSP",0,NA,101,"N","",1,"KOUG_K4_T28_11"
"112","KOUG","K4","T28",11,2021,"9-May-21","AMRO",0,127,NA,"N","",1,"KOUG_K4_T28_11"
"113","KOUG","K4","T28",11,2021,"9-May-21","ATSP",1,NA,101,"N","",1,"KOUG_K4_T28_11"
"114","KOUG","K4","T28",11,2021,"9-May-21","WIPT",2,308,NA,"N","",1,"KOUG_K4_T28_11"
"115","KOUG","K4","T28",11,2021,"9-May-21","FOSP",2,NA,101,"N","",1,"KOUG_K4_T28_11"
"116","KOUG","K4","T28",11,2021,"9-May-21","WCSP",3,NA,101,"N","",1,"KOUG_K4_T28_11"
"117","KOUG","K4","T28",11,2021,"9-May-21","WIPT",4,240,NA,"N","",1,"KOUG_K4_T28_11"
"118","KOUG","K4","T28",11,2021,"9-May-21","WIPT",4,261,NA,"N","",1,"KOUG_K4_T28_11"
"119","KOUG","K4","T28",11,2021,"9-May-21","GCSP",8,NA,101,"N","",1,"KOUG_K4_T28_11"
"120","KOUG","K4","T28",11,2021,"9-May-21","PTARM",8,380,NA,"N","",1,"KOUG_K4_T28_11"
"121","KOUG","K4","T28",9,2021,"9-May-21","ATSP",0,NA,1,"N","",1,"KOUG_K4_T28_9"
"122","KOUG","K4","T28",9,2021,"9-May-21","ATSP",0,NA,101,"N","",1,"KOUG_K4_T28_9"
"123","KOUG","K4","T28",9,2021,"9-May-21","GCSP",0,NA,101,"N","",1,"KOUG_K4_T28_9"
"124","KOUG","K4","T28",9,2021,"9-May-21","FOSP",0,NA,101,"N","",1,"KOUG_K4_T28_9"
"125","KOUG","K4","T28",9,2021,"9-May-21","WCSP",3,NA,1,"N","",1,"KOUG_K4_T28_9"
"126","KOUG","K4","T17",18,2021,"10-May-21","ATSP",0,NA,1,"N","",2,"KOUG_K4_T17_18"
"127","KOUG","K4","T17",18,2021,"10-May-21","WIPT",0,150,NA,"N","",1,"KOUG_K4_T17_18"
"128","KOUG","K4","T17",18,2021,"10-May-21","WIPT",2,130,NA,"N","",2,"KOUG_K4_T17_18"
"129","KOUG","K4","T17",18,2021,"10-May-21","FOSP",3,NA,101,"N","",1,"KOUG_K4_T17_18"
"130","KOUG","K4","T17",18,2021,"10-May-21","WIPT",4,175,NA,"N","",1,"KOUG_K4_T17_18"
"131","KOUG","K4","T17",18,2021,"10-May-21","ATSP",5,NA,101,"N","",1,"KOUG_K4_T17_18"
"132","KOUG","K4","T17",18,2021,"10-May-21","ATSP",6,NA,1,"N","",1,"KOUG_K4_T17_18"
"133","KOUG","K4","T17",18,2021,"10-May-21","WIPT",9,220,NA,"N","",1,"KOUG_K4_T17_18"
"134","KOUG","K4","T17",18,2021,"10-May-21","WIPT",9,400,NA,"N","",1,"KOUG_K4_T17_18"
"135","KOUG","K4","T17",18,2021,"10-May-21","WIPT",9,150,NA,"N","",1,"KOUG_K4_T17_18"
"136","KOUG","K4","T17",18,2021,"10-May-21","WIPT",9,400,NA,"N","",1,"KOUG_K4_T17_18"
"137","KOUG","K4","T17",14,2021,"10-May-21","WIPT",0,400,NA,"N","",1,"KOUG_K4_T17_14"
"138","KOUG","K4","T17",14,2021,"10-May-21","WIPT",1,375,NA,"N","",1,"KOUG_K4_T17_14"
"139","KOUG","K4","T17",14,2021,"10-May-21","ATSP",7,NA,101,"N","",1,"KOUG_K4_T17_14"
"140","KOUG","K4","T17",11,2021,"10-May-21","GCSP",0,NA,101,"N","",1,"KOUG_K4_T17_11"
"141","KOUG","K4","T17",11,2021,"10-May-21","WIPT",1,300,NA,"N","",1,"KOUG_K4_T17_11"
"142","KOUG","K4","T17",11,2021,"10-May-21","ROPT",1,400,NA,"N","",1,"KOUG_K4_T17_11"
"143","KOUG","K4","T17",11,2021,"10-May-21","ATSP",3,NA,101,"N","",1,"KOUG_K4_T17_11"
"144","KOUG","K4","T17",11,2021,"10-May-21","ATSP",4,NA,1,"N","",1,"KOUG_K4_T17_11"
"145","KOUG","K4","T17",11,2021,"10-May-21","FOSP",4,NA,101,"N","",1,"KOUG_K4_T17_11"
"146","KOUG","K4","T17",8,2021,"10-May-21","ATSP",2,NA,1,"N","",2,"KOUG_K4_T17_8"
"147","KOUG","K4","T17",8,2021,"10-May-21","WIPT",7,250,NA,"N","",1,"KOUG_K4_T17_8"
"148","KOUG","K4","T17",6,2021,"10-May-21","GCSP",3,NA,101,"N","",1,"KOUG_K4_T17_6"
"149","KOUG","K4","T17",6,2021,"10-May-21","LALO",9,NA,101,"N","",1,"KOUG_K4_T17_6"
"150","KOUG","K4","T17",5,2021,"10-May-21","AMPI",1,NA,101,"N","",1,"KOUG_K4_T17_5"
"151","KOUG","K4","T17",5,2021,"10-May-21","GCSP",3,NA,101,"N","",1,"KOUG_K4_T17_5"
"152","KOUG","K4","T17",5,2021,"10-May-21","ROPT",4,220,NA,"N","",1,"KOUG_K4_T17_5"
"153","KOUG","K4","T17",5,2021,"10-May-21","ATSP",7,NA,1,"N","",1,"KOUG_K4_T17_5"
"154","KOUG","K4","T17",10,2021,"10-May-21","ATSP",0,NA,101,"N","",1,"KOUG_K4_T17_10"
"155","KOUG","K4","T17",10,2021,"10-May-21","WIPT",0,350,NA,"N","",1,"KOUG_K4_T17_10"
"156","KOUG","K4","T17",10,2021,"10-May-21","ATSP",1,NA,1,"N","",1,"KOUG_K4_T17_10"
"157","KOUG","K4","T17",10,2021,"10-May-21","WIPT",2,400,NA,"N","",2,"KOUG_K4_T17_10"
"158","KOUG","K4","T17",10,2021,"10-May-21","WIPT",5,250,NA,"N","",1,"KOUG_K4_T17_10"
"159","KOUG","K4","T17",13,2021,"10-May-21","WIPT",1,300,NA,"N","",1,"KOUG_K4_T17_13"
"160","KOUG","K4","T17",13,2021,"10-May-21","ATSP",3,NA,101,"N","",1,"KOUG_K4_T17_13"
"161","KOUG","K4","T17",13,2021,"10-May-21","SQUIR",4,375,NA,"N","",1,"KOUG_K4_T17_13"
"162","KOUG","K4","T17",13,2021,"10-May-21","WIPT",4,250,NA,"N","",1,"KOUG_K4_T17_13"
"163","KOUG","K4","T17",13,2021,"10-May-21","ATSP",9,NA,101,"N","",1,"KOUG_K4_T17_13"
"164","KOUG","K4","T17",17,2021,"10-May-21","ATSP",0,NA,1,"N","",1,"KOUG_K4_T17_17"
"165","KOUG","K4","T17",17,2021,"10-May-21","WIPT",0,92,NA,"N","",1,"KOUG_K4_T17_17"
"166","KOUG","K4","T17",17,2021,"10-May-21","WISN",0,400,NA,"N","",1,"KOUG_K4_T17_17"
"167","KOUG","K4","T17",17,2021,"10-May-21","ATSP",3,NA,101,"N","",1,"KOUG_K4_T17_17"
"168","KOUG","K4","T17",17,2021,"10-May-21","FOSP",4,NA,101,"N","",1,"KOUG_K4_T17_17"
"169","KOUG","K4","T17",17,2021,"10-May-21","GCSP",4,NA,101,"N","",1,"KOUG_K4_T17_17"
"170","KOUG","K4","T17",17,2021,"10-May-21","WIPT",5,160,NA,"N","",1,"KOUG_K4_T17_17"
"171","KOUG","K4","T17",17,2021,"10-May-21","ATSP",6,NA,1,"N","",1,"KOUG_K4_T17_17"
"172","KOUG","K4","T17",17,2021,"10-May-21","ATSP",8,NA,1,"N","",3,"KOUG_K4_T17_17"
"173","KOUG","K4","T17",17,2021,"10-May-21","FOSP",9,NA,101,"N","",1,"KOUG_K4_T17_17"
"174","KOUG","K4","T17",17,2021,"10-May-21","WISN",9,400,425,"N","",1,"KOUG_K4_T17_17"
"175","TELL","T4","T11",16,2021,"11-May-21","WIPT",0,300,NA,"N","",1,"TELL_T4_T11_16"
"176","TELL","T4","T11",16,2021,"11-May-21","WIPT",1,150,NA,"N","",1,"TELL_T4_T11_16"
"177","TELL","T4","T11",16,2021,"11-May-21","WIPT",3,320,NA,"N","",1,"TELL_T4_T11_16"
"178","TELL","T4","T11",16,2021,"11-May-21","SAVS",7,NA,1,"N","",2,"TELL_T4_T11_16"
"179","TELL","T4","T11",21,2021,"11-May-21","LALO",0,NA,101,"N","",1,"TELL_T4_T11_21"
"180","TELL","T4","T11",21,2021,"11-May-21","WIPT",2,375,NA,"N","",1,"TELL_T4_T11_21"
"181","TELL","T4","T11",21,2021,"11-May-21","LALO",9,NA,101,"N","",1,"TELL_T4_T11_21"
"182","TELL","T4","T11",21,2021,"11-May-21","LALO",9,NA,1,"N","",1,"TELL_T4_T11_21"
"183","TELL","T4","T11",25,2021,"11-May-21","WESA",0,NA,1,"N","",5,"TELL_T4_T11_25"
"184","TELL","T4","T11",25,2021,"11-May-21","SAVS",0,NA,1,"N","",1,"TELL_T4_T11_25"
"185","TELL","T4","T11",25,2021,"11-May-21","WIPT",0,170,NA,"N","",1,"TELL_T4_T11_25"
"186","TELL","T4","T11",25,2021,"11-May-21","WIPT",2,133,NA,"N","",1,"TELL_T4_T11_25"
"187","TELL","T4","T11",25,2021,"11-May-21","LALO",2,NA,1,"N","",4,"TELL_T4_T11_25"
"188","TELL","T4","T11",25,2021,"11-May-21","WIPT",9,200,NA,"N","",1,"TELL_T4_T11_25"
"189","TELL","T4","T11",30,2021,"11-May-21","WIPT",0,400,NA,"N","",1,"TELL_T4_T11_30"
"190","TELL","T4","T11",30,2021,"11-May-21","WIPT",0,145,NA,"N","",1,"TELL_T4_T11_30"
"191","TELL","T4","T11",30,2021,"11-May-21","WIPT",1,123,NA,"N","",1,"TELL_T4_T11_30"
"192","TELL","T4","T11",30,2021,"11-May-21","LALO",1,NA,1,"N","",4,"TELL_T4_T11_30"
"193","TELL","T4","T11",30,2021,"11-May-21","WIPT",5,400,NA,"N","",1,"TELL_T4_T11_30"
"194","TELL","T4","T11",30,2021,"11-May-21","WESA",7,NA,1,"N","",2,"TELL_T4_T11_30"
"195","TELL","T4","T11",30,2021,"11-May-21","WIPT",9,212,NA,"N","",1,"TELL_T4_T11_30"
"196","TELL","T4","T11",33,2021,"11-May-21","WIPT",0,211,NA,"N","",1,"TELL_T4_T11_33"
"197","TELL","T4","T11",33,2021,"11-May-21","WHIM",0,116,NA,"N","",1,"TELL_T4_T11_33"
"198","TELL","T4","T11",33,2021,"11-May-21","WIPT",1,232,NA,"N","",1,"TELL_T4_T11_33"
"199","TELL","T4","T11",33,2021,"11-May-21","WIPT",1,130,NA,"N","",1,"TELL_T4_T11_33"
"200","TELL","T4","T11",33,2021,"11-May-21","LALO",1,NA,1,"N","",2,"TELL_T4_T11_33"
"201","TELL","T4","T11",33,2021,"11-May-21","WHIM",1,220,NA,"N","",1,"TELL_T4_T11_33"
"202","TELL","T4","T11",33,2021,"11-May-21","SAVS",2,NA,101,"N","",1,"TELL_T4_T11_33"
"203","TELL","T4","T11",33,2021,"11-May-21","GCSP",2,NA,1,"N","",2,"TELL_T4_T11_33"
"204","TELL","T4","T11",33,2021,"11-May-21","FOSP",2,NA,101,"N","",1,"TELL_T4_T11_33"
"205","TELL","T4","T11",33,2021,"11-May-21","ATSP",2,NA,1,"N","",1,"TELL_T4_T11_33"
"206","TELL","T4","T11",33,2021,"11-May-21","WIPT",3,219,NA,"N","",1,"TELL_T4_T11_33"
"207","TELL","T4","T11",33,2021,"11-May-21","FOSP",6,NA,101,"N","",1,"TELL_T4_T11_33"
"208","TELL","T4","T11",33,2021,"11-May-21","LALO",8,NA,101,"N","",2,"TELL_T4_T11_33"
"209","TELL","T4","T11",33,2021,"11-May-21","WIPT",8,220,NA,"N","",1,"TELL_T4_T11_33"
"210","TELL","T4","T11",33,2021,"11-May-21","LALO",9,NA,101,"N","",1,"TELL_T4_T11_33"
"211","TELL","T4","T11",32,2021,"11-May-21","WIPT",0,98,NA,"N","",1,"TELL_T4_T11_32"
"212","TELL","T4","T11",32,2021,"11-May-21","WIPT",0,253,NA,"N","",1,"TELL_T4_T11_32"
"213","TELL","T4","T11",32,2021,"11-May-21","GCSP",1,NA,1,"N","",1,"TELL_T4_T11_32"
"214","TELL","T4","T11",32,2021,"11-May-21","GCSP",1,NA,1,"N","",1,"TELL_T4_T11_32"
"215","TELL","T4","T11",32,2021,"11-May-21","SAVS",2,NA,1,"N","",1,"TELL_T4_T11_32"
"216","TELL","T4","T11",32,2021,"11-May-21","WIPT",2,155,NA,"N","",1,"TELL_T4_T11_32"
"217","TELL","T4","T11",32,2021,"11-May-21","WISN",2,86,NA,"N","",1,"TELL_T4_T11_32"
"218","TELL","T4","T11",32,2021,"11-May-21","FOSP",3,NA,1,"N","",2,"TELL_T4_T11_32"
"219","TELL","T4","T11",32,2021,"11-May-21","WIPT",3,354,NA,"N","",1,"TELL_T4_T11_32"
"220","TELL","T4","T11",32,2021,"11-May-21","WIPT",4,220,NA,"N","",1,"TELL_T4_T11_32"
"221","TELL","T4","T11",32,2021,"11-May-21","GCSP",5,NA,1,"N","",1,"TELL_T4_T11_32"
"222","TELL","T4","T11",32,2021,"11-May-21","WIPT",6,130,NA,"N","",1,"TELL_T4_T11_32"
"223","TELL","T4","T11",32,2021,"11-May-21","WCSP",6,NA,1,"N","",1,"TELL_T4_T11_32"
"224","TELL","T4","T11",32,2021,"11-May-21","WIPT",7,250,NA,"N","",1,"TELL_T4_T11_32"
"225","TELL","T4","T11",32,2021,"11-May-21","SAVS",8,NA,101,"N","",1,"TELL_T4_T11_32"
"226","TELL","T4","T11",32,2021,"11-May-21","WIPT",8,148,NA,"N","",1,"TELL_T4_T11_32"
"227","TELL","T4","T11",28,2021,"11-May-21","GCSP",0,NA,101,"N","",1,"TELL_T4_T11_28"
"228","TELL","T4","T11",28,2021,"11-May-21","WESA",0,NA,101,"N","",1,"TELL_T4_T11_28"
"229","TELL","T4","T11",28,2021,"11-May-21","WIPT",0,127,NA,"N","",1,"TELL_T4_T11_28"
"230","TELL","T4","T11",28,2021,"11-May-21","SAVS",0,NA,101,"N","",2,"TELL_T4_T11_28"
"231","TELL","T4","T11",28,2021,"11-May-21","WHIM",0,91,NA,"N","",1,"TELL_T4_T11_28"
"232","TELL","T4","T11",28,2021,"11-May-21","WIPT",1,211,NA,"N","",1,"TELL_T4_T11_28"
"233","TELL","T4","T11",28,2021,"11-May-21","WIPT",2,350,NA,"N","",1,"TELL_T4_T11_28"
"234","TELL","T4","T11",28,2021,"11-May-21","WHIM",3,211,NA,"N","",1,"TELL_T4_T11_28"
"235","TELL","T4","T11",28,2021,"11-May-21","WIPT",4,262,NA,"N","",1,"TELL_T4_T11_28"
"236","TELL","T4","T11",28,2021,"11-May-21","WIPT",5,131,NA,"N","",1,"TELL_T4_T11_28"
"237","TELL","T4","T11",28,2021,"11-May-21","WESA",6,NA,101,"N","",1,"TELL_T4_T11_28"
"238","TELL","T4","T11",28,2021,"11-May-21","WESA",7,NA,1,"N","",1,"TELL_T4_T11_28"
"239","TELL","T4","T11",28,2021,"11-May-21","LTJA",8,250,NA,"N","",1,"TELL_T4_T11_28"
"240","TELL","T4","T11",28,2021,"11-May-21","LALO",9,NA,101,"N","",1,"TELL_T4_T11_28"
"241","TELL","T4","T11",23,2021,"11-May-21","LALO",0,NA,101,"N","",1,"TELL_T4_T11_23"
